"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cerapoda"
"Access Time","Fri 2017-02-03 21:14:25 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cerapoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.154"
"Records Found","3991"
"Records Returned","3991"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"293744","occ","","","28001","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Middle Coniacian","","89.3","85.8","7661"
"293758","occ","","","28003","Caririchnium n. sp. protohadrosaurichnos","species","68032","","Caririchnium protohadrosaurichnos","species","68032","Early Cenomanian","Middle Cenomanian","99.6","93.5","7663"
"294952","occ","","","28196","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Late Barremian","Early Aptian","130","122.46","7706"
"294953","occ","22534","","28196","Iguanodontoidea indet.","superfamily","52810","","Iguanodontoidea","superfamily","52810","Late Barremian","Early Aptian","130","122.46","31341"
"296427","occ","","I","28334","Moyenisauropus sp.","genus","52872","","Moyenisauropus","genus","52872","Late Hettangian","","201.3","196.5","7786"
"296471","occ","","","28369","Hadrosaurus n. sp. agilis","species","52921","recombined as","Claosaurus agilis","species","52921","Late Coniacian","Early Campanian","89.3","70.6","7805"
"297287","occ","21722","","28454","Rhabdodon sp.","genus","38753","","Rhabdodon","genus","38753","Late Campanian","","83.5","70.6","29887"
"297293","occ","","","28455","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Late Campanian","Early Maastrichtian","83.5","66","7841"
"297295","occ","31622","","28457","Hadrosauroidea indet.","superfamily","184951","","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","56054"
"297616","occ","","","28548","Anchiceratops n. sp. longirostris","species","63446","subjective synonym of","Anchiceratops ornatus","species","63447","Maastrichtian","","72.1","66","7884"
"297694","occ","10357","","28406","Rhabdodon sp.","genus","38753","","Rhabdodon","genus","38753","Late Campanian","","83.5","70.6","9512"
"297697","occ","17830","","28569","n. gen. Lurdusaurus n. sp. arenatus","species","64411","","Lurdusaurus arenatus","species","64411","Albian","","113","100.5","7886"
"297798","occ","18229","I","28606","n. gen. Wintonopus n. sp. latomorum","species","81251","","Wintonopus latomorum","species","81251","Early Cenomanian","","99.6","93.5","18059"
"297799","occ","","IF","28606","Amblydactylus cf. gethingi","species","84915","","Amblydactylus gethingi","species","84915","Early Cenomanian","","99.6","93.5","7891"
"299144","occ","","","28778","Bactrosaurus sp.","genus","38770","","Bactrosaurus","genus","38770","Middle Campanian","Late Campanian","83.5","70.6","7905"
"300498","occ","","","28919","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Early Cretaceous","","145","100.5","7931"
"301101","occ","22478","","28994","Iguanodontidae ? indet.","family","38744","","Iguanodontidae","family","38744","Middle Berriasian","","145","140.2","31269"
"304134","occ","","","31079","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Maastrichtian","","70.6","66","7281"
"342961","occ","21170","","32296","cf. Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","28721"
"342987","occ","21171","","32298","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","28721"
"343504","occ","","","32314","Hadrosauroidea indet.","superfamily","52811","","Hadrosauroidea","superfamily","52811","Late Albian","Cenomanian","105.3","93.9","8700"
"343542","occ","","","32320","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Early Aptian","","125.45","122.46","8709"
"343790","occ","22640","","32324","n. gen. Albalophosaurus n. sp. yamaguchiorum","species","161140","","Albalophosaurus yamaguchiorum","species","161140","Valanginian","","139.8","132.9","31493"
"343791","occ","","","32324","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Valanginian","","139.8","132.9","13515"
"343951","occ","23468","","32362","Psittacosauridae indet.","family","38843","","Psittacosauridae","family","38843","Aptian","Albian","125","100.5","8730"
"343963","occ","25249","","32370","n. gen. Willinakaqe n. sp. salitralensis","species","193982","","Willinakaqe salitralensis","species","193982","Late Campanian","Early Maastrichtian","83.5","66","36963"
"362042","occ","","","34302","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Campanian","","83.5","70.6","9017"
"362178","occ","","","34305","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Campanian","","83.5","70.6","9017"
"362353","occ","","","34307","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Campanian","","83.5","70.6","9017"
"362354","occ","","","34307","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","9017"
"362393","occ","","","34309","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Campanian","","83.5","70.6","9017"
"362394","occ","","","34309","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","9017"
"362555","occ","","","34310","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Campanian","","83.5","70.6","9017"
"362556","occ","","","34310","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","9017"
